0:0:0:0:0:0:0:1 - - [05/Oct/2021:10:44:15 +0900] "GET /BookRecommend/book_info.jsp HTTP/1.1" 200 2819
0:0:0:0:0:0:0:1 - - [05/Oct/2021:10:44:15 +0900] "GET /BookRecommend/script/index-crawler.js HTTP/1.1" 404 852
0:0:0:0:0:0:0:1 - - [05/Oct/2021:10:44:15 +0900] "GET /BookRecommend/images/kyobo.jpg HTTP/1.1" 404 845
0:0:0:0:0:0:0:1 - - [05/Oct/2021:10:44:15 +0900] "GET /BookRecommend/images/aladin.jpg HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [05/Oct/2021:10:44:15 +0900] "GET /BookRecommend/images/interpark.jpg HTTP/1.1" 404 849
0:0:0:0:0:0:0:1 - - [05/Oct/2021:10:44:15 +0900] "GET /BookRecommend/script/index-crawler.js HTTP/1.1" 404 852
0:0:0:0:0:0:0:1 - - [05/Oct/2021:10:44:15 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [05/Oct/2021:10:50:32 +0900] "GET /BookRecommend/admin_userManage.jsp HTTP/1.1" 200 4969
0:0:0:0:0:0:0:1 - - [05/Oct/2021:10:50:32 +0900] "GET /BookRecommend/css/common.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2021:10:50:32 +0900] "GET /BookRecommend/script/jquery-3.5.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2021:10:50:32 +0900] "GET /BookRecommend/css/footer.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2021:10:50:32 +0900] "GET /BookRecommend/css/header.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2021:10:50:32 +0900] "GET /BookRecommend/css/admin_userManage.css HTTP/1.1" 200 1830
0:0:0:0:0:0:0:1 - - [05/Oct/2021:10:50:32 +0900] "GET /BookRecommend/script/search.js HTTP/1.1" 200 1460
0:0:0:0:0:0:0:1 - - [05/Oct/2021:10:50:32 +0900] "GET /BookRecommend/script/custom.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2021:10:50:32 +0900] "GET /BookRecommend/images/facebook.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2021:10:50:32 +0900] "GET /BookRecommend/images/kakao-talk.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2021:10:50:32 +0900] "GET /BookRecommend/images/twitter.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2021:10:50:32 +0900] "GET /favicon.ico HTTP/1.1" 404 818
